주문번호,주문일,상품명,옵션명,수량,판매액(A),결제금액,판매자 할인쿠폰,기본배송비,판매수수료,정산금액,상품그룹명,주문상태,로켓 여부
CP2000214,2026.01.19,"비타민C 1000mg 180정",,2,25800,25800,0,2983,2774,20043,"건강식품",구매확정,N
CP2000215,2026.02.03,"실리콘 주방매트 세트",FREE,3,29700,29700,0,0,2981,26719,"주방용품",구매확정,N
CP2000216,2025.12.24,"무선 블루투스 이어폰 TWS-500",,1,29900,29900,0,2795,2981,24124,"전자/디지털",배송완료,Y
CP2000217,2026.02.19,"여성 오버핏 맨투맨 봄 신상",,1,19900,18706,1194,2622,2310,13774,"패션의류",구매확정,N
CP2000218,2025.10.02,"스테인리스 텀블러 500ml",,1,15900,13833,2067,0,1619,12214,"생활/건강",구매확정,N
CP2000219,2026.02.14,"유기농 현미 5kg",,2,45800,45800,0,2742,4904,38154,"식품",구매확정,N
CP2000220,2025.10.25,"강아지 사료 연어맛 6kg",네이비,2,65800,65800,0,2567,7511,55722,"반려동물",구매확정,N
CP2000221,2026.01.26,"접이식 캠핑 의자 경량형",화이트,2,49800,49800,0,0,5764,44036,"스포츠/레저",구매확정,N
CP2000222,2026.03.11,"LED 데스크 무드등 조명",XL,3,56700,56700,0,0,6540,50160,"인테리어",구매확정,N
CP2000223,2025.10.13,"남성 슬림핏 치노 팬츠",블랙,1,29900,29900,0,2535,3474,23891,"패션의류",구매확정,Y
CP2000224,2026.01.01,"키즈 보온 패딩 점퍼 120-160",,2,71800,71800,0,0,7969,63831,"유아동",구매확정,N
CP2000225,2025.12.27,"에어프라이어 5L 디지털",XL,2,99800,99800,0,0,10146,89654,"주방가전",구매확정,N
CP2000226,2025.10.04,"비타민C 1000mg 180정",FREE,1,12900,12900,0,2743,1416,8741,"건강식품",구매확정,Y
CP2000227,2026.03.10,"실리콘 주방매트 세트",그레이,3,29700,29700,0,0,3463,26237,"주방용품",구매확정,N
CP2000228,2026.02.12,"무선 블루투스 이어폰 TWS-500",L,1,29900,29900,0,0,2986,26914,"전자/디지털",구매확정,N
CP2000229,2026.03.09,"여성 오버핏 맨투맨 봄 신상",XL,2,39800,39800,0,0,4137,35663,"패션의류",구매확정,Y
CP2000230,2025.11.20,"스테인리스 텀블러 500ml",XL,3,47700,47700,0,0,5192,42508,"생활/건강",구매확정,N
CP2000231,2025.11.27,"유기농 현미 5kg",,1,22900,22900,0,0,2508,20392,"식품",배송완료,Y
CP2000232,2026.01.30,"강아지 사료 연어맛 6kg",그레이,1,32900,30926,1974,0,3580,27346,"반려동물",구매확정,Y
CP2000233,2026.01.20,"접이식 캠핑 의자 경량형",L,1,24900,24900,0,0,2565,22335,"스포츠/레저",구매확정,N
CP2000234,2025.11.25,"LED 데스크 무드등 조명",,2,37800,37800,0,2995,3864,30941,"인테리어",구매확정,N
CP2000235,2026.03.02,"남성 슬림핏 치노 팬츠",FREE,3,89700,82524,7176,0,10421,72103,"패션의류",구매확정,N
CP2000236,2026.03.07,"키즈 보온 패딩 점퍼 120-160",,2,71800,71800,0,2747,8181,60872,"유아동",구매확정,N
CP2000237,2025.12.29,"에어프라이어 5L 디지털",M,2,99800,99800,0,0,10010,89790,"주방가전",구매확정,Y
CP2000238,2025.10.06,"비타민C 1000mg 180정",화이트,3,38700,38700,0,2806,4217,31677,"건강식품",구매확정,N
CP2000239,2025.10.20,"실리콘 주방매트 세트",,1,9900,9009,891,0,1044,7965,"주방용품",구매확정,N
CP2000240,2025.10.14,"무선 블루투스 이어폰 TWS-500",XL,3,89700,89700,0,0,8968,80732,"전자/디지털",구매확정,N
CP2000241,2025.12.04,"여성 오버핏 맨투맨 봄 신상",,3,59700,59700,0,2698,6795,50207,"패션의류",구매확정,Y
CP2000242,2025.12.21,"스테인리스 텀블러 500ml",화이트,1,15900,15900,0,2944,1720,11236,"생활/건강",구매확정,N
CP2000243,2026.02.06,"유기농 현미 5kg",,3,68700,68700,0,2500,7740,58460,"식품",구매확정,Y
CP2000244,2026.01.30,"강아지 사료 연어맛 6kg",,3,98700,98700,0,0,10001,88699,"반려동물",구매확정,N
CP2000245,2026.02.12,"접이식 캠핑 의자 경량형",L,2,49800,49800,0,2783,5238,41779,"스포츠/레저",구매확정,N
CP2000246,2026.01.01,"LED 데스크 무드등 조명",,3,56700,53298,3402,0,6513,46785,"인테리어",배송완료,N
CP2000247,2026.03.09,"남성 슬림핏 치노 팬츠",L,2,59800,59800,0,0,6122,53678,"패션의류",구매확정,N
CP2000248,2026.01.12,"키즈 보온 패딩 점퍼 120-160",,1,35900,35900,0,2795,3551,29554,"유아동",구매확정,N
CP2000249,2025.12.19,"에어프라이어 5L 디지털",화이트,1,49900,49900,0,2600,4988,42312,"주방가전",구매확정,Y
CP2000250,2026.01.15,"비타민C 1000mg 180정",M,2,25800,22188,3612,2849,2969,16370,"건강식품",구매확정,N
CP2000251,2026.02.10,"실리콘 주방매트 세트",XL,2,19800,19800,0,0,2268,17532,"주방용품",구매확정,Y
CP2000252,2026.03.12,"무선 블루투스 이어폰 TWS-500",네이비,2,59800,53820,5980,2574,6656,44590,"전자/디지털",구매확정,N
CP2000253,2026.01.20,"여성 오버핏 맨투맨 봄 신상",XL,3,59700,59700,0,0,6240,53460,"패션의류",구매확정,Y
CP2000254,2026.01.01,"스테인리스 텀블러 500ml",S,1,15900,13674,2226,2644,1764,9266,"생활/건강",구매확정,N
CP2000255,2026.02.20,"유기농 현미 5kg",S,3,68700,68700,0,2915,7956,57829,"식품",구매확정,N
CP2000256,2025.11.27,"강아지 사료 연어맛 6kg",블랙,2,65800,65800,0,2576,6522,56702,"반려동물",구매확정,N
CP2000257,2025.11.30,"접이식 캠핑 의자 경량형",블랙,2,49800,43326,6474,0,5450,37876,"스포츠/레저",구매확정,N
CP2000258,2025.11.27,"LED 데스크 무드등 조명",,3,56700,52164,4536,0,5681,46483,"인테리어",구매확정,Y
CP2000259,2025.11.22,"남성 슬림핏 치노 팬츠",FREE,2,59800,59800,0,2690,6151,50959,"패션의류",구매확정,Y
CP2000260,2025.11.11,"키즈 보온 패딩 점퍼 120-160",,3,107700,95853,11847,0,11787,84066,"유아동",구매확정,N
CP2000261,2026.01.18,"에어프라이어 5L 디지털",FREE,3,149700,149700,0,0,15286,134414,"주방가전",구매확정,Y
CP2000262,2025.10.18,"비타민C 1000mg 180정",L,1,12900,12900,0,2592,1493,8815,"건강식품",구매확정,N
CP2000263,2026.03.14,"실리콘 주방매트 세트",블랙,2,19800,19800,0,0,2091,17709,"주방용품",구매확정,N
CP2000264,2025.11.01,"무선 블루투스 이어폰 TWS-500",L,2,59800,52624,7176,0,6339,46285,"전자/디지털",구매확정,N
CP2000265,2025.10.17,"여성 오버핏 맨투맨 봄 신상",FREE,3,59700,59700,0,0,5931,53769,"패션의류",구매확정,N
CP2000266,2026.01.08,"스테인리스 텀블러 500ml",화이트,1,15900,15900,0,2896,1856,11148,"생활/건강",구매확정,N
CP2000267,2025.12.02,"유기농 현미 5kg",블랙,2,45800,45800,0,2577,4808,38415,"식품",구매확정,N
CP2000268,2025.12.14,"강아지 사료 연어맛 6kg",L,1,32900,32900,0,2635,3232,27033,"반려동물",구매확정,N
CP2000269,2026.02.01,"접이식 캠핑 의자 경량형",,2,49800,42330,7470,0,5428,36902,"스포츠/레저",구매확정,Y
CP2000270,2025.12.31,"LED 데스크 무드등 조명",,2,37800,32886,4914,2780,4276,25830,"인테리어",구매확정,Y
CP2000271,2025.11.13,"남성 슬림핏 치노 팬츠",베이지,1,29900,29900,0,2919,3010,23971,"패션의류",구매확정,Y
CP2000272,2025.12.17,"키즈 보온 패딩 점퍼 120-160",,3,107700,95853,11847,2662,11713,81478,"유아동",구매확정,N
CP2000273,2025.10.06,"에어프라이어 5L 디지털",S,3,149700,149700,0,2715,16305,130680,"주방가전",구매확정,N
CP2000274,2026.03.13,"비타민C 1000mg 180정",S,2,25800,25800,0,0,2640,23160,"건강식품",구매확정,N
CP2000275,2026.01.02,"실리콘 주방매트 세트",,3,29700,29700,0,0,3424,26276,"주방용품",구매확정,N
CP2000276,2025.10.08,"무선 블루투스 이어폰 TWS-500",XL,3,89700,89700,0,2982,8875,77843,"전자/디지털",구매확정,N
CP2000277,2025.10.16,"여성 오버핏 맨투맨 봄 신상",,3,59700,51342,8358,2503,6905,41934,"패션의류",구매확정,N
CP2000278,2025.12.08,"스테인리스 텀블러 500ml",,2,31800,31800,0,0,3694,28106,"생활/건강",구매확정,Y
CP2000279,2025.12.22,"유기농 현미 5kg",화이트,3,68700,68700,0,2905,7923,57872,"식품",구매확정,N
CP2000280,2025.12.16,"강아지 사료 연어맛 6kg",,1,32900,30926,1974,2686,3389,24851,"반려동물",구매확정,N
CP2000281,2025.12.03,"접이식 캠핑 의자 경량형",XL,1,24900,24900,0,0,2781,22119,"스포츠/레저",구매확정,N
CP2000282,2025.11.01,"LED 데스크 무드등 조명",L,1,18900,18900,0,2618,2131,14151,"인테리어",구매확정,Y
CP2000283,2026.01.21,"남성 슬림핏 치노 팬츠",,1,29900,29900,0,0,3498,26402,"패션의류",구매확정,Y
CP2000284,2026.01.07,"키즈 보온 패딩 점퍼 120-160",,2,71800,71800,0,0,7571,64229,"유아동",구매확정,Y
CP2000285,2026.01.03,"에어프라이어 5L 디지털",화이트,2,99800,99800,0,2509,10326,86965,"주방가전",구매확정,Y
CP2000286,2025.10.05,"비타민C 1000mg 180정",,1,12900,12900,0,0,1452,11448,"건강식품",구매확정,N
CP2000287,2025.11.03,"실리콘 주방매트 세트",네이비,2,19800,19800,0,0,2265,17535,"주방용품",구매확정,N
CP2000288,2026.02.11,"무선 블루투스 이어폰 TWS-500",네이비,3,89700,89700,0,2809,8799,78092,"전자/디지털",구매확정,N
CP2000289,2026.01.30,"여성 오버핏 맨투맨 봄 신상",M,3,59700,59700,0,2528,5855,51317,"패션의류",구매확정,Y
CP2000290,2025.10.13,"스테인리스 텀블러 500ml",FREE,3,47700,47700,0,2534,5585,39581,"생활/건강",배송완료,N
CP2000291,2025.12.18,"유기농 현미 5kg",,3,68700,68700,0,2984,6735,58981,"식품",구매확정,N
CP2000292,2026.01.29,"강아지 사료 연어맛 6kg",,1,32900,32900,0,0,3389,29511,"반려동물",구매확정,Y
CP2000293,2025.11.11,"접이식 캠핑 의자 경량형",M,1,24900,24900,0,0,2747,22153,"스포츠/레저",구매확정,N
CP2000294,2026.03.06,"LED 데스크 무드등 조명",L,1,18900,18900,0,2551,2107,14242,"인테리어",구매확정,N
CP2000295,2025.10.07,"남성 슬림핏 치노 팬츠",S,3,89700,89700,0,0,10517,79183,"패션의류",구매확정,Y
CP2000296,2025.12.28,"키즈 보온 패딩 점퍼 120-160",L,1,35900,35900,0,0,4029,31871,"유아동",구매확정,N
CP2000297,2025.11.12,"에어프라이어 5L 디지털",그레이,3,149700,149700,0,2547,15281,131872,"주방가전",구매확정,Y
CP2000298,2025.11.24,"비타민C 1000mg 180정",S,3,38700,38700,0,0,3934,34766,"건강식품",구매확정,N
CP2000299,2025.11.23,"실리콘 주방매트 세트",S,1,9900,9900,0,2656,1039,6205,"주방용품",구매확정,Y
CP2000300,2026.02.21,"무선 블루투스 이어폰 TWS-500",그레이,1,29900,29900,0,2664,3314,23922,"전자/디지털",구매확정,N
CP2000301,2026.01.01,"여성 오버핏 맨투맨 봄 신상",그레이,2,39800,39800,0,0,3952,35848,"패션의류",구매확정,N
CP2000302,2026.01.11,"스테인리스 텀블러 500ml",,2,31800,31800,0,0,3590,28210,"생활/건강",구매확정,N
CP2000303,2025.12.30,"유기농 현미 5kg",M,1,22900,22900,0,0,2648,20252,"식품",배송완료,N
CP2000304,2025.12.24,"강아지 사료 연어맛 6kg",베이지,2,65800,57246,8554,2605,7347,47294,"반려동물",구매확정,N
CP2000305,2025.12.30,"접이식 캠핑 의자 경량형",S,3,74700,70965,3735,0,7850,63115,"스포츠/레저",구매확정,N
CP2000306,2026.01.25,"LED 데스크 무드등 조명",FREE,2,37800,37800,0,2749,4338,30713,"인테리어",구매확정,Y
CP2000307,2026.03.10,"남성 슬림핏 치노 팬츠",화이트,2,59800,59800,0,2938,6018,50844,"패션의류",구매확정,N
CP2000308,2025.12.11,"키즈 보온 패딩 점퍼 120-160",FREE,1,35900,35900,0,0,4034,31866,"유아동",구매확정,N
CP2000309,2026.03.06,"에어프라이어 5L 디지털",S,3,149700,149700,0,2563,15221,131916,"주방가전",구매확정,N
CP2000310,2026.03.05,"비타민C 1000mg 180정",,1,12900,12900,0,0,1461,11439,"건강식품",구매확정,N
CP2000311,2026.03.12,"실리콘 주방매트 세트",네이비,2,19800,18216,1584,0,2112,16104,"주방용품",구매확정,N
CP2000312,2025.12.03,"무선 블루투스 이어폰 TWS-500",,3,89700,78039,11661,0,8793,69246,"전자/디지털",구매확정,N
CP2000313,2026.03.13,"여성 오버핏 맨투맨 봄 신상",,3,59700,59700,0,0,6919,52781,"패션의류",구매확정,N
CP2000314,2025.10.28,"스테인리스 텀블러 500ml",L,3,47700,47700,0,0,4862,42838,"생활/건강",구매확정,N
CP2000315,2026.02.24,"유기농 현미 5kg",그레이,2,45800,45800,0,2717,4710,38373,"식품",구매확정,Y
CP2000316,2026.02.27,"강아지 사료 연어맛 6kg",그레이,3,98700,98700,0,2690,10285,85725,"반려동물",구매확정,N
CP2000317,2026.01.18,"접이식 캠핑 의자 경량형",,1,24900,24900,0,0,2915,21985,"스포츠/레저",구매확정,N
CP2000318,2025.12.01,"LED 데스크 무드등 조명",FREE,3,56700,56700,0,0,5797,50903,"인테리어",구매확정,Y
CP2000319,2025.11.08,"남성 슬림핏 치노 팬츠",FREE,2,59800,59800,0,0,6771,53029,"패션의류",구매확정,Y
CP2000320,2025.11.02,"키즈 보온 패딩 점퍼 120-160",,3,107700,96930,10770,0,11354,85576,"유아동",구매확정,N
CP2000321,2026.03.07,"에어프라이어 5L 디지털",,2,99800,94810,4990,2891,11327,80592,"주방가전",구매확정,Y
CP2000322,2025.11.02,"비타민C 1000mg 180정",S,1,12900,11868,1032,0,1361,10507,"건강식품",구매확정,N
CP2000323,2025.11.04,"실리콘 주방매트 세트",M,3,29700,26433,3267,2772,3000,20661,"주방용품",배송완료,N
CP2000324,2025.11.16,"무선 블루투스 이어폰 TWS-500",네이비,2,59800,55614,4186,0,5961,49653,"전자/디지털",배송완료,N
CP2000325,2026.02.15,"여성 오버핏 맨투맨 봄 신상",,3,59700,59700,0,0,6327,53373,"패션의류",구매확정,N
CP2000326,2026.03.03,"스테인리스 텀블러 500ml",M,3,47700,47700,0,2554,4992,40154,"생활/건강",구매확정,Y
CP2000327,2026.03.01,"유기농 현미 5kg",베이지,1,22900,19465,3435,0,2543,16922,"식품",구매확정,N
CP2000328,2025.12.25,"강아지 사료 연어맛 6kg",XL,1,32900,32900,0,2729,3399,26772,"반려동물",구매확정,N
CP2000329,2026.01.01,"접이식 캠핑 의자 경량형",화이트,3,74700,74700,0,2860,8579,63261,"스포츠/레저",구매확정,Y
CP2000330,2025.10.05,"LED 데스크 무드등 조명",FREE,1,18900,18900,0,0,2021,16879,"인테리어",구매확정,N
CP2000331,2025.12.06,"남성 슬림핏 치노 팬츠",FREE,2,59800,59800,0,0,5972,53828,"패션의류",구매확정,N
CP2000332,2025.10.08,"키즈 보온 패딩 점퍼 120-160",,1,35900,35900,0,2909,3728,29263,"유아동",구매확정,N
CP2000333,2025.12.24,"에어프라이어 5L 디지털",,1,49900,49900,0,0,5522,44378,"주방가전",구매확정,N
CP2000334,2025.12.03,"비타민C 1000mg 180정",,1,12900,12255,645,0,1517,10738,"건강식품",구매확정,N
CP2000335,2025.11.18,"실리콘 주방매트 세트",,1,9900,9900,0,0,1005,8895,"주방용품",구매확정,N
CP2000336,2025.11.03,"무선 블루투스 이어폰 TWS-500",블랙,2,59800,59800,0,2522,6545,50733,"전자/디지털",구매확정,Y
CP2000337,2025.12.12,"여성 오버핏 맨투맨 봄 신상",,3,59700,59700,0,0,6924,52776,"패션의류",배송완료,N
CP2000338,2025.12.09,"스테인리스 텀블러 500ml",블랙,1,15900,15900,0,2784,1749,11367,"생활/건강",구매확정,N
CP2000339,2025.10.11,"유기농 현미 5kg",S,2,45800,45800,0,0,4747,41053,"식품",구매확정,N
CP2000340,2026.03.06,"강아지 사료 연어맛 6kg",블랙,2,65800,65800,0,0,6856,58944,"반려동물",구매확정,Y
CP2000341,2025.11.23,"접이식 캠핑 의자 경량형",M,3,74700,74700,0,2961,8716,63023,"스포츠/레저",구매확정,N
CP2000342,2025.11.23,"LED 데스크 무드등 조명",,2,37800,37800,0,2905,4010,30885,"인테리어",구매확정,N
CP2000343,2025.12.15,"남성 슬림핏 치노 팬츠",,2,59800,52026,7774,2621,6493,42912,"패션의류",구매확정,Y
CP2000344,2026.02.28,"키즈 보온 패딩 점퍼 120-160",네이비,1,35900,35900,0,2639,3953,29308,"유아동",구매확정,Y
CP2000345,2025.10.10,"에어프라이어 5L 디지털",,1,49900,43413,6487,2712,5084,35617,"주방가전",구매확정,N
CP2000346,2025.10.25,"비타민C 1000mg 180정",,3,38700,38700,0,0,4459,34241,"건강식품",구매확정,Y
CP2000347,2025.10.29,"실리콘 주방매트 세트",L,2,19800,17622,2178,0,2286,15336,"주방용품",구매확정,N
CP2000348,2025.11.12,"무선 블루투스 이어폰 TWS-500",네이비,3,89700,89700,0,0,10355,79345,"전자/디지털",구매확정,N
CP2000349,2026.02.05,"여성 오버핏 맨투맨 봄 신상",블랙,3,59700,51939,7761,2632,6211,43096,"패션의류",배송완료,N
CP2000350,2025.10.05,"스테인리스 텀블러 500ml",S,2,31800,31800,0,2915,3600,25285,"생활/건강",구매확정,N
CP2000351,2026.02.06,"유기농 현미 5kg",XL,3,68700,68700,0,2945,7027,58728,"식품",구매확정,N
CP2000352,2025.10.22,"강아지 사료 연어맛 6kg",베이지,3,98700,83895,14805,0,9874,74021,"반려동물",구매확정,N
CP2000353,2025.12.25,"접이식 캠핑 의자 경량형",,3,74700,74700,0,0,7959,66741,"스포츠/레저",구매확정,N
CP2000354,2025.12.15,"LED 데스크 무드등 조명",,2,37800,37800,0,0,4191,33609,"인테리어",배송완료,N
CP2000355,2026.01.05,"남성 슬림핏 치노 팬츠",,2,59800,59800,0,0,6145,53655,"패션의류",구매확정,N
CP2000356,2025.11.08,"키즈 보온 패딩 점퍼 120-160",베이지,1,35900,35900,0,2920,3986,28994,"유아동",구매확정,N
CP2000357,2026.01.10,"에어프라이어 5L 디지털",네이비,3,149700,149700,0,2951,15555,131194,"주방가전",구매확정,N
CP2000358,2025.11.25,"비타민C 1000mg 180정",,2,25800,25800,0,0,2657,23143,"건강식품",구매확정,N
CP2000359,2026.02.08,"실리콘 주방매트 세트",FREE,2,19800,19800,0,0,2280,17520,"주방용품",구매확정,N
CP2000360,2026.02.16,"무선 블루투스 이어폰 TWS-500",,2,59800,59800,0,0,6013,53787,"전자/디지털",배송완료,Y
CP2000361,2026.03.02,"여성 오버핏 맨투맨 봄 신상",L,1,19900,19900,0,0,2035,17865,"패션의류",구매확정,N
CP2000362,2026.01.28,"스테인리스 텀블러 500ml",,3,47700,47700,0,0,5271,42429,"생활/건강",구매확정,N
CP2000363,2026.01.11,"유기농 현미 5kg",그레이,1,22900,22900,0,0,2335,20565,"식품",구매확정,Y
CP2000364,2025.10.28,"강아지 사료 연어맛 6kg",FREE,3,98700,87843,10857,2735,9845,75263,"반려동물",배송완료,Y
CP2000365,2026.03.14,"접이식 캠핑 의자 경량형",,3,74700,74700,0,0,8368,66332,"스포츠/레저",구매확정,N
CP2000366,2025.11.03,"LED 데스크 무드등 조명",L,1,18900,18900,0,0,1892,17008,"인테리어",구매확정,N
CP2000367,2026.01.07,"남성 슬림핏 치노 팬츠",그레이,3,89700,89700,0,0,9336,80364,"패션의류",구매확정,N
CP2000368,2026.02.20,"키즈 보온 패딩 점퍼 120-160",XL,2,71800,71800,0,2936,7528,61336,"유아동",구매확정,Y
CP2000369,2025.11.16,"에어프라이어 5L 디지털",네이비,2,99800,99800,0,0,11300,88500,"주방가전",구매확정,N
CP2000370,2026.02.21,"비타민C 1000mg 180정",XL,1,12900,12900,0,2733,1482,8685,"건강식품",구매확정,N
CP2000371,2025.10.20,"실리콘 주방매트 세트",XL,2,19800,18216,1584,2938,2066,13212,"주방용품",구매확정,Y
CP2000372,2025.12.08,"무선 블루투스 이어폰 TWS-500",XL,3,89700,80730,8970,0,9208,71522,"전자/디지털",구매확정,N
CP2000373,2025.10.14,"여성 오버핏 맨투맨 봄 신상",M,1,19900,19900,0,0,2198,17702,"패션의류",구매확정,N
CP2000374,2025.10.13,"스테인리스 텀블러 500ml",L,2,31800,31800,0,2579,3395,25826,"생활/건강",배송완료,N
CP2000375,2026.01.29,"유기농 현미 5kg",S,1,22900,22900,0,0,2504,20396,"식품",구매확정,N
CP2000376,2025.12.08,"강아지 사료 연어맛 6kg",베이지,3,98700,93765,4935,2838,11473,79454,"반려동물",구매확정,Y
CP2000377,2025.12.07,"접이식 캠핑 의자 경량형",FREE,1,24900,24900,0,2763,2728,19409,"스포츠/레저",배송완료,Y
CP2000378,2026.01.31,"LED 데스크 무드등 조명",M,3,56700,48762,7938,0,6569,42193,"인테리어",구매확정,N
CP2000379,2026.02.19,"남성 슬림핏 치노 팬츠",그레이,1,29900,29900,0,0,3059,26841,"패션의류",구매확정,Y
CP2000380,2026.01.28,"키즈 보온 패딩 점퍼 120-160",네이비,2,71800,66774,5026,0,8383,58391,"유아동",구매확정,Y
CP2000381,2025.11.02,"에어프라이어 5L 디지털",S,3,149700,149700,0,2979,15514,131207,"주방가전",구매확정,Y
CP2000382,2026.03.04,"비타민C 1000mg 180정",S,3,38700,38700,0,0,3998,34702,"건강식품",구매확정,N
CP2000383,2025.11.12,"실리콘 주방매트 세트",M,3,29700,29700,0,2885,3466,23349,"주방용품",배송완료,Y
CP2000384,2025.12.11,"무선 블루투스 이어폰 TWS-500",,2,59800,55016,4784,2883,6638,45495,"전자/디지털",구매확정,N
CP2000385,2025.10.13,"여성 오버핏 맨투맨 봄 신상",화이트,3,59700,59700,0,2796,6393,50511,"패션의류",구매확정,N
CP2000386,2025.10.20,"스테인리스 텀블러 500ml",,2,31800,29892,1908,2511,3647,23734,"생활/건강",구매확정,N
CP2000387,2025.11.26,"유기농 현미 5kg",화이트,1,22900,22900,0,0,2626,20274,"식품",구매확정,N
CP2000388,2026.02.28,"강아지 사료 연어맛 6kg",베이지,1,32900,32900,0,0,3685,29215,"반려동물",구매확정,N
CP2000389,2025.10.02,"접이식 캠핑 의자 경량형",,2,49800,49800,0,2730,5740,41330,"스포츠/레저",구매확정,N
CP2000390,2025.10.02,"LED 데스크 무드등 조명",,2,37800,37800,0,2963,4290,30547,"인테리어",구매확정,N
CP2000391,2025.10.28,"남성 슬림핏 치노 팬츠",,1,29900,29900,0,2582,3005,24313,"패션의류",구매확정,Y
CP2000392,2025.10.06,"키즈 보온 패딩 점퍼 120-160",화이트,2,71800,71800,0,2563,8228,61009,"유아동",구매확정,N
CP2000393,2025.12.11,"에어프라이어 5L 디지털",그레이,2,99800,99800,0,2637,9863,87300,"주방가전",구매확정,N
CP2000394,2025.12.07,"비타민C 1000mg 180정",L,2,25800,23736,2064,0,3007,20729,"건강식품",구매확정,Y
CP2000395,2026.02.04,"실리콘 주방매트 세트",,2,19800,19800,0,2664,2290,14846,"주방용품",구매확정,N
CP2000396,2026.03.12,"무선 블루투스 이어폰 TWS-500",화이트,1,29900,29900,0,2730,3517,23653,"전자/디지털",구매확정,N
CP2000397,2025.10.18,"여성 오버핏 맨투맨 봄 신상",,3,59700,59700,0,0,6034,53666,"패션의류",구매확정,N
CP2000398,2026.03.14,"스테인리스 텀블러 500ml",블랙,3,47700,44361,3339,0,5261,39100,"생활/건강",구매확정,N
CP2000399,2026.01.22,"유기농 현미 5kg",FREE,3,68700,68700,0,0,6933,61767,"식품",배송완료,Y
CP2000400,2025.11.11,"강아지 사료 연어맛 6kg",,3,98700,98700,0,2917,11406,84377,"반려동물",배송완료,Y
CP2000401,2026.02.04,"접이식 캠핑 의자 경량형",FREE,3,74700,74700,0,0,8582,66118,"스포츠/레저",구매확정,N
CP2000402,2025.10.23,"LED 데스크 무드등 조명",베이지,3,56700,56700,0,0,5844,50856,"인테리어",구매확정,N
CP2000403,2025.11.20,"남성 슬림핏 치노 팬츠",,3,89700,89700,0,0,9343,80357,"패션의류",구매확정,N
CP2000404,2026.01.27,"키즈 보온 패딩 점퍼 120-160",화이트,3,107700,91545,16155,0,11709,79836,"유아동",구매확정,N
CP2000405,2025.10.04,"에어프라이어 5L 디지털",,3,149700,149700,0,0,17091,132609,"주방가전",구매확정,Y
CP2000406,2026.02.23,"비타민C 1000mg 180정",블랙,1,12900,12900,0,2700,1318,8882,"건강식품",구매확정,Y
CP2000407,2025.11.18,"실리콘 주방매트 세트",그레이,1,9900,9900,0,0,1120,8780,"주방용품",구매확정,N
CP2000408,2025.10.28,"무선 블루투스 이어폰 TWS-500",XL,3,89700,89700,0,2867,8853,77980,"전자/디지털",배송완료,Y
CP2000409,2026.03.08,"여성 오버핏 맨투맨 봄 신상",L,3,59700,59700,0,0,5976,53724,"패션의류",구매확정,N
CP2000410,2025.12.30,"스테인리스 텀블러 500ml",네이비,3,47700,47700,0,0,5373,42327,"생활/건강",구매확정,N
CP2000411,2025.11.11,"유기농 현미 5kg",XL,1,22900,21755,1145,0,2320,19435,"식품",구매확정,N
CP2000412,2025.12.12,"강아지 사료 연어맛 6kg",네이비,2,65800,65800,0,2956,7626,55218,"반려동물",구매확정,N
CP2000413,2026.02.28,"접이식 캠핑 의자 경량형",베이지,3,74700,74700,0,0,8434,66266,"스포츠/레저",구매확정,N
CP2000414,2025.11.01,"LED 데스크 무드등 조명",,2,37800,37800,0,0,3902,33898,"인테리어",구매확정,Y
CP2000415,2025.11.19,"남성 슬림핏 치노 팬츠",,3,89700,76245,13455,2832,8983,64430,"패션의류",구매확정,N
CP2000416,2025.10.13,"키즈 보온 패딩 점퍼 120-160",S,1,35900,35900,0,0,3951,31949,"유아동",구매확정,Y
CP2000417,2025.12.08,"에어프라이어 5L 디지털",FREE,3,149700,130239,19461,0,14859,115380,"주방가전",구매확정,N
CP2000418,2025.12.22,"비타민C 1000mg 180정",S,3,38700,35217,3483,0,4400,30817,"건강식품",구매확정,N
CP2000419,2025.11.24,"실리콘 주방매트 세트",M,1,9900,9108,792,0,1124,7984,"주방용품",구매확정,N
