주문번호,주문일시,상품명,옵션정보,수량,상품별 총 주문금액,결제금액,할인금액,배송비 결제금액,수수료합계,정산예정금액,카테고리,정산상태
NV3000210,2025-10-29,"나이키 에어포스 1 '07 화이트",,1,139000,139000,0,3191,6972,128837,"패션/신발",정산완료
NV3000211,2026-03-11,"정관장 홍삼정 에브리타임 밸런스 30포",,2,150000,150000,0,2981,8242,138777,"건강식품",정산완료
NV3000212,2025-10-11,"설화수 자음2종 세트",,1,120000,120000,0,3429,7184,109387,"화장품/미용",정산완료
NV3000213,2026-01-19,"애플 에어팟 프로 2세대",,1,359000,359000,0,3048,21262,334690,"디지털/가전",정산완료
NV3000214,2026-03-01,"일리 네스프레소 호환 캡슐 100캡슐",M,1,45000,45000,0,2964,2255,39781,"식품/음료",정산완료
NV3000215,2026-01-27,"다이슨 에어랩 멀티 스타일러",베이지,2,1498000,1498000,0,0,89109,1408891,"디지털/가전",정산완료
NV3000216,2025-12-31,"락토핏 생유산균 골드 50포 x 3통",L,1,42000,35700,6300,2773,2259,30668,"건강식품",정산완료
NV3000217,2026-02-26,"크록스 클래식 클로그",,2,109800,109800,0,0,6550,103250,"패션/신발",정산완료
NV3000218,2025-12-28,"LG전자 스탠바이미",,2,2080000,2080000,0,2512,115254,1962234,"디지털/가전",정산완료
NV3000219,2025-11-25,"아로마티카 로즈마리 스칼프 샴푸",,2,48000,48000,0,2779,2817,42404,"화장품/미용",정산완료
NV3000220,2026-02-11,"나이키 에어포스 1 '07 화이트",,2,278000,278000,0,0,14382,263618,"패션/신발",정산완료
NV3000221,2025-10-30,"정관장 홍삼정 에브리타임 밸런스 30포",베이지,1,75000,75000,0,2885,3972,68143,"건강식품",정산완료
NV3000222,2025-11-11,"설화수 자음2종 세트",,1,120000,114000,6000,2699,6721,104580,"화장품/미용",정산완료
NV3000223,2026-01-02,"애플 에어팟 프로 2세대",네이비,1,359000,359000,0,2697,18583,337720,"디지털/가전",정산완료
NV3000224,2026-01-03,"일리 네스프레소 호환 캡슐 100캡슐",,2,90000,90000,0,2854,5106,82040,"식품/음료",정산완료
NV3000225,2026-01-14,"다이슨 에어랩 멀티 스타일러",,1,749000,749000,0,2997,38457,707546,"디지털/가전",정산완료
NV3000226,2025-12-30,"락토핏 생유산균 골드 50포 x 3통",L,1,42000,42000,0,3150,2218,36632,"건강식품",정산완료
NV3000227,2025-12-20,"크록스 클래식 클로그",M,1,54900,45018,9882,0,3160,41858,"패션/신발",정산완료
NV3000228,2025-10-12,"LG전자 스탠바이미",블랙,1,1040000,1040000,0,0,56191,983809,"디지털/가전",정산완료
NV3000229,2026-02-11,"아로마티카 로즈마리 스칼프 샴푸",,2,48000,44160,3840,2695,2402,39063,"화장품/미용",정산완료
NV3000230,2026-02-27,"나이키 에어포스 1 '07 화이트",,1,139000,119540,19460,0,7340,112200,"패션/신발",정산완료
NV3000231,2026-01-07,"정관장 홍삼정 에브리타임 밸런스 30포",,1,75000,75000,0,0,4458,70542,"건강식품",정산완료
NV3000232,2025-11-22,"설화수 자음2종 세트",블랙,2,240000,240000,0,0,12310,227690,"화장품/미용",정산완료
NV3000233,2026-01-21,"애플 에어팟 프로 2세대",화이트,2,718000,718000,0,0,39348,678652,"디지털/가전",정산완료
NV3000234,2026-01-22,"일리 네스프레소 호환 캡슐 100캡슐",L,2,90000,90000,0,0,4979,85021,"식품/음료",정산완료
NV3000235,2026-01-26,"다이슨 에어랩 멀티 스타일러",,1,749000,749000,0,0,44631,704369,"디지털/가전",정산완료
NV3000236,2026-02-26,"락토핏 생유산균 골드 50포 x 3통",,2,84000,84000,0,2938,4394,76668,"건강식품",정산완료
NV3000237,2025-10-17,"크록스 클래식 클로그",,1,54900,54900,0,0,3233,51667,"패션/신발",정산완료
NV3000238,2026-02-20,"LG전자 스탠바이미",,1,1040000,988000,52000,0,57346,930654,"디지털/가전",정산완료
NV3000239,2025-12-19,"아로마티카 로즈마리 스칼프 샴푸",,2,48000,48000,0,2873,2499,42628,"화장품/미용",정산완료
NV3000240,2025-10-21,"나이키 에어포스 1 '07 화이트",M,2,278000,222400,55600,3132,16440,202828,"패션/신발",정산완료
NV3000241,2025-11-16,"정관장 홍삼정 에브리타임 밸런스 30포",,2,150000,132000,18000,3322,7962,120716,"건강식품",정산완료
NV3000242,2025-10-08,"설화수 자음2종 세트",,2,240000,225600,14400,3116,13434,209050,"화장품/미용",정산완료
NV3000243,2025-12-30,"애플 에어팟 프로 2세대",S,2,718000,595940,122060,0,43032,552908,"디지털/가전",정산완료
NV3000244,2025-10-22,"일리 네스프레소 호환 캡슐 100캡슐",,1,45000,45000,0,0,2520,42480,"식품/음료",정산완료
NV3000245,2026-01-29,"다이슨 에어랩 멀티 스타일러",XL,1,749000,704060,44940,2679,43542,657839,"디지털/가전",정산완료
NV3000246,2026-01-30,"락토핏 생유산균 골드 50포 x 3통",베이지,1,42000,42000,0,2876,2450,36674,"건강식품",정산완료
NV3000247,2026-01-07,"크록스 클래식 클로그",M,2,109800,109800,0,3141,5677,100982,"패션/신발",정산완료
NV3000248,2025-10-10,"LG전자 스탠바이미",S,2,2080000,2080000,0,0,116029,1963971,"디지털/가전",정산완료
NV3000249,2025-10-09,"아로마티카 로즈마리 스칼프 샴푸",베이지,2,48000,48000,0,0,2580,45420,"화장품/미용",정산완료
NV3000250,2026-02-11,"나이키 에어포스 1 '07 화이트",화이트,2,278000,239080,38920,3024,14795,221261,"패션/신발",정산완료
NV3000251,2025-10-13,"정관장 홍삼정 에브리타임 밸런스 30포",,1,75000,60750,14250,2517,4354,53879,"건강식품",정산완료
NV3000252,2025-11-06,"설화수 자음2종 세트",FREE,1,120000,120000,0,0,6123,113877,"화장품/미용",정산완료
NV3000253,2026-02-26,"애플 에어팟 프로 2세대",,1,359000,359000,0,0,21200,337800,"디지털/가전",정산완료
NV3000254,2025-11-03,"일리 네스프레소 호환 캡슐 100캡슐",블랙,2,90000,90000,0,0,5006,84994,"식품/음료",정산완료
NV3000255,2025-11-07,"다이슨 에어랩 멀티 스타일러",블랙,1,749000,749000,0,2766,44590,701644,"디지털/가전",정산완료
NV3000256,2025-10-17,"락토핏 생유산균 골드 50포 x 3통",S,2,84000,84000,0,3127,4687,76186,"건강식품",정산완료
NV3000257,2025-10-19,"크록스 클래식 클로그",S,2,109800,109800,0,2947,5861,100992,"패션/신발",정산완료
NV3000258,2026-02-11,"LG전자 스탠바이미",,2,2080000,2080000,0,0,120807,1959193,"디지털/가전",정산완료
NV3000259,2025-11-03,"아로마티카 로즈마리 스칼프 샴푸",,1,24000,24000,0,3238,1425,19337,"화장품/미용",정산완료
NV3000260,2026-03-01,"나이키 에어포스 1 '07 화이트",블랙,2,278000,247420,30580,2839,14542,230039,"패션/신발",정산완료
NV3000261,2026-03-14,"정관장 홍삼정 에브리타임 밸런스 30포",,2,150000,150000,0,0,8435,141565,"건강식품",정산완료
NV3000262,2026-02-18,"설화수 자음2종 세트",FREE,2,240000,240000,0,2865,12866,224269,"화장품/미용",정산완료
NV3000263,2025-11-22,"애플 에어팟 프로 2세대",,2,718000,603120,114880,0,39244,563876,"디지털/가전",정산완료
NV3000264,2025-10-19,"일리 네스프레소 호환 캡슐 100캡슐",M,2,90000,72000,18000,0,4984,67016,"식품/음료",정산완료
NV3000265,2026-01-31,"다이슨 에어랩 멀티 스타일러",M,2,1498000,1498000,0,0,81239,1416761,"디지털/가전",정산완료
NV3000266,2025-12-04,"락토핏 생유산균 골드 50포 x 3통",화이트,2,84000,84000,0,0,4351,79649,"건강식품",정산완료
NV3000267,2025-10-15,"크록스 클래식 클로그",,2,109800,93330,16470,0,5692,87638,"패션/신발",정산완료
NV3000268,2025-10-04,"LG전자 스탠바이미",FREE,1,1040000,884000,156000,2679,61975,819346,"디지털/가전",정산완료
NV3000269,2025-11-14,"아로마티카 로즈마리 스칼프 샴푸",L,2,48000,43200,4800,3063,2702,37435,"화장품/미용",정산완료
NV3000270,2025-12-14,"나이키 에어포스 1 '07 화이트",베이지,1,139000,139000,0,2903,7576,128521,"패션/신발",정산완료
NV3000271,2025-10-16,"정관장 홍삼정 에브리타임 밸런스 30포",베이지,2,150000,150000,0,3119,8784,138097,"건강식품",정산완료
NV3000272,2025-11-11,"설화수 자음2종 세트",그레이,2,240000,201600,38400,2730,12715,186155,"화장품/미용",정산완료
NV3000273,2026-01-04,"애플 에어팟 프로 2세대",네이비,1,359000,359000,0,0,19288,339712,"디지털/가전",정산완료
NV3000274,2025-12-05,"일리 네스프레소 호환 캡슐 100캡슐",,2,90000,78300,11700,0,4852,73448,"식품/음료",정산완료
NV3000275,2025-10-21,"다이슨 에어랩 멀티 스타일러",,2,1498000,1378160,119840,0,76587,1301573,"디지털/가전",정산완료
NV3000276,2025-11-22,"락토핏 생유산균 골드 50포 x 3통",M,2,84000,84000,0,0,4235,79765,"건강식품",정산완료
NV3000277,2026-02-18,"크록스 클래식 클로그",,2,109800,109800,0,3238,5810,100752,"패션/신발",정산완료
NV3000278,2025-11-16,"LG전자 스탠바이미",,2,2080000,2080000,0,2919,114477,1962604,"디지털/가전",정산완료
NV3000279,2025-10-13,"아로마티카 로즈마리 스칼프 샴푸",블랙,2,48000,48000,0,0,2847,45153,"화장품/미용",정산완료
NV3000280,2025-12-17,"나이키 에어포스 1 '07 화이트",FREE,2,278000,244640,33360,0,14897,229743,"패션/신발",정산완료
NV3000281,2026-03-08,"정관장 홍삼정 에브리타임 밸런스 30포",M,2,150000,150000,0,2740,7824,139436,"건강식품",정산완료
NV3000282,2025-11-23,"설화수 자음2종 세트",,1,120000,120000,0,2726,6073,111201,"화장품/미용",정산완료
NV3000283,2025-11-27,"애플 에어팟 프로 2세대",L,2,718000,718000,0,3346,38533,676121,"디지털/가전",정산완료
NV3000284,2026-01-20,"일리 네스프레소 호환 캡슐 100캡슐",,1,45000,45000,0,3425,2412,39163,"식품/음료",정산완료
NV3000285,2026-02-14,"다이슨 에어랩 멀티 스타일러",블랙,2,1498000,1498000,0,3219,86207,1408574,"디지털/가전",정산완료
NV3000286,2025-12-14,"락토핏 생유산균 골드 50포 x 3통",,2,84000,84000,0,0,4719,79281,"건강식품",정산완료
NV3000287,2026-02-21,"크록스 클래식 클로그",XL,1,54900,54900,0,0,3113,51787,"패션/신발",정산완료
NV3000288,2025-12-01,"LG전자 스탠바이미",S,1,1040000,894400,145600,3396,58041,832963,"디지털/가전",정산완료
NV3000289,2026-01-23,"아로마티카 로즈마리 스칼프 샴푸",,1,24000,24000,0,0,1254,22746,"화장품/미용",정산완료
NV3000290,2026-02-07,"나이키 에어포스 1 '07 화이트",S,1,139000,123710,15290,0,7220,116490,"패션/신발",정산완료
NV3000291,2025-11-21,"정관장 홍삼정 에브리타임 밸런스 30포",L,1,75000,75000,0,0,4146,70854,"건강식품",정산완료
NV3000292,2025-10-18,"설화수 자음2종 세트",,2,240000,240000,0,3139,12385,224476,"화장품/미용",정산완료
NV3000293,2025-12-07,"애플 에어팟 프로 2세대",,1,359000,359000,0,2719,18447,337834,"디지털/가전",정산완료
NV3000294,2025-10-19,"일리 네스프레소 호환 캡슐 100캡슐",,1,45000,40500,4500,3498,2494,34508,"식품/음료",정산완료
NV3000295,2025-10-09,"다이슨 에어랩 멀티 스타일러",베이지,1,749000,749000,0,3331,39521,706148,"디지털/가전",정산완료
NV3000296,2026-02-15,"락토핏 생유산균 골드 50포 x 3통",L,1,42000,42000,0,3231,2174,36595,"건강식품",정산완료
NV3000297,2025-10-26,"크록스 클래식 클로그",네이비,2,109800,109800,0,0,6568,103232,"패션/신발",정산완료
NV3000298,2025-11-11,"LG전자 스탠바이미",M,2,2080000,1872000,208000,0,105446,1766554,"디지털/가전",정산완료
NV3000299,2025-12-30,"아로마티카 로즈마리 스칼프 샴푸",,1,24000,19200,4800,3145,1232,14823,"화장품/미용",정산완료
NV3000300,2025-12-08,"나이키 에어포스 1 '07 화이트",,2,278000,278000,0,2965,13921,261114,"패션/신발",정산완료
NV3000301,2025-10-15,"정관장 홍삼정 에브리타임 밸런스 30포",,1,75000,68250,6750,0,4500,63750,"건강식품",정산완료
NV3000302,2026-02-18,"설화수 자음2종 세트",블랙,2,240000,240000,0,3296,12305,224399,"화장품/미용",정산완료
NV3000303,2025-12-21,"애플 에어팟 프로 2세대",블랙,2,718000,617480,100520,2642,41415,573423,"디지털/가전",정산완료
NV3000304,2025-10-03,"일리 네스프레소 호환 캡슐 100캡슐",,2,90000,90000,0,0,5335,84665,"식품/음료",정산완료
NV3000305,2025-12-22,"다이슨 에어랩 멀티 스타일러",,1,749000,749000,0,3145,40981,704874,"디지털/가전",정산완료
NV3000306,2025-11-05,"락토핏 생유산균 골드 50포 x 3통",XL,2,84000,84000,0,2573,4298,77129,"건강식품",정산완료
NV3000307,2026-01-29,"크록스 클래식 클로그",,2,109800,109800,0,0,6561,103239,"패션/신발",정산완료
NV3000308,2025-12-05,"LG전자 스탠바이미",,2,2080000,1705600,374400,2843,105423,1597334,"디지털/가전",정산완료
NV3000309,2026-01-23,"아로마티카 로즈마리 스칼프 샴푸",L,1,24000,24000,0,2648,1429,19923,"화장품/미용",정산완료
NV3000310,2025-10-21,"나이키 에어포스 1 '07 화이트",네이비,2,278000,278000,0,0,16217,261783,"패션/신발",정산완료
NV3000311,2025-12-18,"정관장 홍삼정 에브리타임 밸런스 30포",M,2,150000,142500,7500,0,7654,134846,"건강식품",정산완료
NV3000312,2026-03-09,"설화수 자음2종 세트",화이트,1,120000,120000,0,0,6775,113225,"화장품/미용",정산완료
NV3000313,2025-10-16,"애플 에어팟 프로 2세대",XL,1,359000,359000,0,0,19031,339969,"디지털/가전",정산완료
NV3000314,2026-02-16,"일리 네스프레소 호환 캡슐 100캡슐",XL,2,90000,90000,0,2518,4876,82606,"식품/음료",정산완료
NV3000315,2025-11-14,"다이슨 에어랩 멀티 스타일러",,2,1498000,1498000,0,0,77884,1420116,"디지털/가전",정산완료
NV3000316,2026-01-22,"락토핏 생유산균 골드 50포 x 3통",,1,42000,42000,0,0,2225,39775,"건강식품",정산완료
NV3000317,2025-11-19,"크록스 클래식 클로그",,2,109800,109800,0,2783,5876,101141,"패션/신발",정산완료
NV3000318,2026-01-15,"LG전자 스탠바이미",FREE,2,2080000,2080000,0,2829,114301,1962870,"디지털/가전",정산완료
NV3000319,2026-01-10,"아로마티카 로즈마리 스칼프 샴푸",화이트,2,48000,48000,0,3470,2858,41672,"화장품/미용",정산완료
NV3000320,2026-01-06,"나이키 에어포스 1 '07 화이트",,2,278000,278000,0,2789,14264,260947,"패션/신발",정산완료
NV3000321,2025-10-17,"정관장 홍삼정 에브리타임 밸런스 30포",L,2,150000,150000,0,2941,7925,139134,"건강식품",정산완료
NV3000322,2026-03-11,"설화수 자음2종 세트",,1,120000,111600,8400,0,6888,104712,"화장품/미용",정산완료
NV3000323,2025-12-06,"애플 에어팟 프로 2세대",,2,718000,718000,0,3395,41538,673067,"디지털/가전",정산완료
NV3000324,2026-01-29,"일리 네스프레소 호환 캡슐 100캡슐",베이지,2,90000,90000,0,3325,5082,81593,"식품/음료",정산완료
NV3000325,2025-12-29,"다이슨 에어랩 멀티 스타일러",XL,2,1498000,1498000,0,0,81431,1416569,"디지털/가전",정산완료
NV3000326,2025-12-29,"락토핏 생유산균 골드 50포 x 3통",,2,84000,84000,0,2936,4402,76662,"건강식품",정산완료
NV3000327,2026-01-15,"크록스 클래식 클로그",그레이,2,109800,109800,0,2741,5898,101161,"패션/신발",정산완료
NV3000328,2026-01-24,"LG전자 스탠바이미",,1,1040000,1040000,0,0,54054,985946,"디지털/가전",정산완료
NV3000329,2026-01-06,"아로마티카 로즈마리 스칼프 샴푸",,2,48000,39840,8160,2888,2695,34257,"화장품/미용",정산완료
NV3000330,2025-12-27,"나이키 에어포스 1 '07 화이트",,1,139000,139000,0,0,8208,130792,"패션/신발",정산완료
NV3000331,2025-12-06,"정관장 홍삼정 에브리타임 밸런스 30포",FREE,1,75000,75000,0,0,3767,71233,"건강식품",정산완료
NV3000332,2026-01-18,"설화수 자음2종 세트",,1,120000,120000,0,0,7122,112878,"화장품/미용",정산완료
NV3000333,2026-02-13,"애플 에어팟 프로 2세대",베이지,2,718000,653380,64620,0,37921,615459,"디지털/가전",정산완료
NV3000334,2025-12-10,"일리 네스프레소 호환 캡슐 100캡슐",네이비,2,90000,90000,0,0,5327,84673,"식품/음료",정산완료
NV3000335,2026-02-10,"다이슨 에어랩 멀티 스타일러",XL,1,749000,689080,59920,3413,41629,644038,"디지털/가전",정산완료
NV3000336,2025-11-25,"락토핏 생유산균 골드 50포 x 3통",그레이,2,84000,75600,8400,0,4268,71332,"건강식품",정산완료
NV3000337,2025-10-20,"크록스 클래식 클로그",네이비,2,109800,109800,0,2622,6238,100940,"패션/신발",정산완료
NV3000338,2025-12-10,"LG전자 스탠바이미",L,2,2080000,2080000,0,0,117527,1962473,"디지털/가전",정산완료
NV3000339,2026-01-29,"아로마티카 로즈마리 스칼프 샴푸",네이비,1,24000,24000,0,0,1380,22620,"화장품/미용",정산완료
NV3000340,2025-10-12,"나이키 에어포스 1 '07 화이트",S,2,278000,236300,41700,3244,15719,217337,"패션/신발",정산완료
NV3000341,2025-11-16,"정관장 홍삼정 에브리타임 밸런스 30포",,1,75000,75000,0,2859,4229,67912,"건강식품",정산완료
NV3000342,2025-10-30,"설화수 자음2종 세트",XL,2,240000,240000,0,0,12040,227960,"화장품/미용",정산완료
NV3000343,2025-11-14,"애플 에어팟 프로 2세대",XL,2,718000,718000,0,0,36267,681733,"디지털/가전",정산완료
NV3000344,2025-10-05,"일리 네스프레소 호환 캡슐 100캡슐",화이트,2,90000,85500,4500,0,4664,80836,"식품/음료",정산완료
NV3000345,2025-11-30,"다이슨 에어랩 멀티 스타일러",,2,1498000,1498000,0,2529,81833,1413638,"디지털/가전",정산완료
NV3000346,2026-02-06,"락토핏 생유산균 골드 50포 x 3통",FREE,1,42000,42000,0,3176,2505,36319,"건강식품",정산완료
NV3000347,2026-03-01,"크록스 클래식 클로그",,1,54900,54900,0,2881,2921,49098,"패션/신발",정산완료
NV3000348,2025-10-03,"LG전자 스탠바이미",S,2,2080000,2080000,0,2589,117087,1960324,"디지털/가전",정산완료
NV3000349,2026-01-02,"아로마티카 로즈마리 스칼프 샴푸",그레이,2,48000,48000,0,0,2787,45213,"화장품/미용",정산완료
